Country,Subcategory,Value
Afghanistan,child_labor_total,10.3
Afghanistan,child_labor_male,11.0
Afghanistan,child_labor_female,9.6
Afghanistan,child_marriage_by_15,15.0
Afghanistan,child_marriage_by_18,40.4
Afghanistan,birth_registrations_total,37.4
Afghanistan,justification_wife_beating_female,90.2
Afghanistan,violent_discipline_total,74.4
Afghanistan,violent_discipline_male,74.8
Afghanistan,violent_discipline_female,74.1
Albania,child_labor_total,12.0
Albania,child_labor_male,14.4
Albania,child_labor_female,9.4
Albania,child_marriage_by_15,0.2
Albania,child_marriage_by_18,9.6
Albania,birth_registrations_total,98.6
Albania,justification_wife_beating_male,36.4
Albania,justification_wife_beating_female,29.8
Albania,violent_discipline_total,75.1
Albania,violent_discipline_male,78.3
Albania,violent_discipline_female,71.4
Algeria,child_labor_total,4.7
Algeria,child_labor_male,5.5
Algeria,child_labor_female,3.9
Algeria,child_marriage_by_15,0.1
Algeria,child_marriage_by_18,1.8
Algeria,birth_registrations_total,99.3
Algeria,justification_wife_beating_female,67.9
Algeria,violent_discipline_total,87.7
Algeria,violent_discipline_male,88.8
Algeria,violent_discipline_female,86.5
Andorra,birth_registrations_total,100.0
Angola,child_labor_total,23.5
Angola,child_labor_male,22.1
Angola,child_labor_female,24.8
Angola,birth_registrations_total,36.0
Argentina,child_labor_total,6.5
Argentina,child_labor_male,7.6
Argentina,child_labor_female,5.2
Argentina,birth_registrations_total,99.0
Armenia,child_labor_total,3.9
Armenia,child_labor_male,4.7
Armenia,child_labor_female,2.9
Armenia,child_marriage_by_15,0.0
Armenia,child_marriage_by_18,7.2
Armenia,birth_registrations_total,99.6
Armenia,justification_wife_beating_male,19.9
Armenia,justification_wife_beating_female,9.3
Armenia,violent_discipline_total,69.6
Armenia,violent_discipline_male,72.0
Armenia,violent_discipline_female,66.9
Australia,birth_registrations_total,100.0
Austria,birth_registrations_total,100.0
Azerbaijan,child_labor_total,6.5
Azerbaijan,child_labor_male,7.5
Azerbaijan,child_labor_female,5.4
Azerbaijan,child_marriage_by_15,0.7
Azerbaijan,child_marriage_by_18,12.2
Azerbaijan,birth_registrations_total,93.6
Azerbaijan,justification_wife_beating_male,58.3
Azerbaijan,justification_wife_beating_female,49.0
Azerbaijan,violent_discipline_total,75.2
Azerbaijan,violent_discipline_male,78.8
Azerbaijan,violent_discipline_female,71.4
Bahrain,child_labor_total,4.6
Bahrain,child_labor_male,6.3
Bahrain,child_labor_female,3.0
Bangladesh,child_labor_total,12.8
Bangladesh,child_labor_male,17.5
Bangladesh,child_labor_female,8.1
Bangladesh,child_marriage_by_15,29.1
Bangladesh,child_marriage_by_18,64.9
Bangladesh,birth_registrations_total,30.5
Bangladesh,justification_wife_beating_female,32.5
Belarus,child_labor_total,1.4
Belarus,child_labor_male,1.3
Belarus,child_labor_female,1.5
Belarus,child_marriage_by_15,0.0
Belarus,child_marriage_by_18,3.2
Belarus,birth_registrations_total,100.0
Belarus,justification_wife_beating_male,4.2
Belarus,justification_wife_beating_female,4.1
Belarus,violent_discipline_total,64.5
Belarus,violent_discipline_male,67.4
Belarus,violent_discipline_female,61.7
Belgium,birth_registrations_total,100.0
Belize,child_labor_total,5.8
Belize,child_labor_male,6.7
Belize,child_labor_female,5.0
Belize,child_marriage_by_15,3.4
Belize,child_marriage_by_18,25.9
Belize,birth_registrations_total,95.2
Belize,justification_wife_beating_female,8.6
Belize,violent_discipline_total,70.5
Belize,violent_discipline_male,71.3
Belize,violent_discipline_female,69.7
Benin,child_labor_total,45.6
Benin,child_labor_male,46.5
Benin,child_labor_female,44.6
Benin,child_marriage_by_15,7.9
Benin,child_marriage_by_18,34.4
Benin,birth_registrations_total,80.2
Benin,female_genital_mutilation_prevalence_women,12.9
Benin,female_genital_mutilation_prevalence_girls,2.2
Benin,female_genital_mutilation_attitudes_support,1.4
Benin,justification_wife_beating_male,13.5
Benin,justification_wife_beating_female,46.6
Bhutan,child_labor_total,2.9
Bhutan,child_labor_male,2.6
Bhutan,child_labor_female,3.1
Bhutan,child_marriage_by_15,6.2
Bhutan,child_marriage_by_18,25.8
Bhutan,birth_registrations_total,99.9
Bhutan,justification_wife_beating_female,68.4
Bolivia (Plurinational State of),child_labor_total,26.4
Bolivia (Plurinational State of),child_labor_male,28.2
Bolivia (Plurinational State of),child_labor_female,24.4
Bolivia (Plurinational State of),child_marriage_by_15,3.2
Bolivia (Plurinational State of),child_marriage_by_18,21.7
Bolivia (Plurinational State of),birth_registrations_total,75.8
Bolivia (Plurinational State of),justification_wife_beating_female,16.1
Bosnia and Herzegovina,child_labor_total,5.3
Bosnia and Herzegovina,child_labor_male,6.6
Bosnia and Herzegovina,child_labor_female,3.9
Bosnia and Herzegovina,child_marriage_by_15,0.2
Bosnia and Herzegovina,child_marriage_by_18,3.5
